1183	NORCOM PD 3 – MERCER ISLAND / BOTHELL / LFP	
1335	NORCOM PD RECORDS	
1337	NORCOM TAC 1	
1215	NORCOM TAC 2	
1209	NORCOM TAC 3	
1333	NORCOM TAC 11	
1331	NORCOM TAC 12	
1325	NORCOM TAC 13	
1321	NORCOM TAC 14	
1319	NORCOM TAC 15	
1323	NORCOM TAC 16	
1357	NORCOM EMER BUTTON PD	
1207	NORCOM CARS 3	
1213	NORCOM CARS 2	
1327	NORCOM CARS 1	
1399	NORCOM FIRE DISP	
1397	NORCOM TRUCKS	
1389	NORCOM FIRE TAC 1	
1387	NORCOM FIRE TAC 2	
1385	NORCOM FIRE TAC 3	
1383	NORCOM FIRE TAC 4	
1381	NORCOM FIRE TAC 5	
1379	NORCOM FIRE TAC 6	
1377	NORCOM FIRE TAC 7	
1963	NORCOM FIRE TAC 8	
1965	NORCOM FIRE TAC 9	
1967	NORCOM FIRE TAC 10	
3915	NORCOM FD EMER 1	
1969	NORCOM FD TRAIN	
1393	NORCOM AMBULANCE	
1317	NORCOM ADMIN	
50001	RADIO TECH 1	
50002	RADIO TECH 2	
50003	RADIO TECH 3	
50004	RADIO TECH 4	
50005	RADIO TECH 5	
50006	RADIO TECH 6	
50007	RADIO TECH 7	
50008	RADIO TECH 8	
50009	RADIO TECH 9	
50010	RADIO TECH 10	
1149	REDMOND PD TAC 2	
1153	REDMOND PD ADMIN	
1155	REDMOND PD INV	
1157	REDMOND PD TRAFFIC	
1159	REDMOND PD DISP	
1151	REDMOND PD TAC 1	
1161	REDMOND FIRE DISP	
1163	REDMOND FIRE PREV	
1121	REDMOND BUILDING INSP	
1135	REDMOND PW DRAINS 1	
1143	REDMOND PW DRAINS 2	
2327	RENTON PD 1	
2329	RENTON PD TAC	
2331	RENTON PD 3	
303	SEATTLE CENTER 1	
305	SEATTLE CENTER 2	
307	SEATTLE CENTER 3	
309	SEATTLE CENTER 4	
311	SEATTLE CENTER 5	
313	SEATTLE CENTER 6	
399	SEATTLE PUB UTIL	
403	SEATTLE WATERSHED	
405	SEATTLE WATER SEWER	
409	SEATTLE WATER 4	
443	SEATTLE WATER SEWER	
445	SEATTLE DOT DISP	
449	SEATTLE SAN ENGINEER	
103	SEATTLE FIRE 1 – FULL RESPONSE 	2
105	SEATTLE FIRE 2 – ALARM INCIDENTS	
107	SEATTLE FIRE 3 – RESCUE	
109	SEATTLE FIRE 4 – DISP	
111	SEATTLE FIRE ALT DISPATCH	
113	SEATTLE FIRE 6	
131	SEATTLE FIRE 7	
101	SEATTLE FIRE ATG	
123	SEATTLE FIRE AMB	
125	SEATTLE FIRE MEDIC 1 DOCTOR	1
115	SEATTLE FIRE COMMAND 11	
117	SEATTLE FIRE COMMAND 12	
119	SEATTLE FIRE MAYDAY TAC	
121	SEATTLE FIRE RAPID INTERV TEAM	
127	SEATTLE FIRE TRAUMA DOC	1
133	SEATTLE FIRE EMER	
137	SEATTLE FIRE ALARM CENTER	
139	AIRLIFT NORTHWEST	1
141	SEATTLE FIRE RMC/EOC	
143	SEATTLE FIRE BATT 2	
145	SEATTLE FIRE BATT 3	
147	SEATTLE FIRE BATT 4	
149	SEATTLE FIRE BATT 5	
151	SEATTLE FIRE BATT 6	
153	SEATTLE FIRE BATT 7	
155	SEATTLE FIRE OPS	
157	SEATTLE FIRE COMMAND 13	
173	SEATTLE FIRE UNKNOWN MEDICAL	1
175	SEATTLE FIRE MEMORIAL STADIUM	
177	SEATTLE FIRE TMO OPS	
179	SEATTLE FIRE LUMEN	
181	SEATTLE FIRE CLIMATE	
183	SEATTLE FIRE TMO EMS	
185	SEATTLE FIRE FIREGUARD	
187	SEATTLE FIRE TRAINING 1	
189	SEATTLE FIRE FMO	
191	SEATTLE FIRE SERVICES	
193	SEATTLE FIRE EVENT 14	
195	SEATTLE FIRE EVENT 15	
197	SEATTLE FIRE EMERGENCY	
203	SEATTLE PD DISP WEST	2
205	SEATTLE PD DISP NORTH	
207	SEATTLE PD DISP SOUTH	
209	SEATTLE PD DISP EAST	
213	SEATTLE PD RECORDS	
201	SEATTLE PD ATG	
215	SEATTLE PD TAC 1	
217	SEATTLE PD TAC 2	
219	SEATTLE PD TAC 3	
221	SEATTLE PD TAC 4	
223	SEATTLE PD EVENT 1	
225	SEATTLE PD EMERGENCY	
227	SEATTLE PD TAC EAST	
229	SEATTLE PD TAC SOUTH	
231	SEATTLE PD TAC NORTH	
233	SEATTLE PD TAC WEST	1
235	SEATTLE PD INV TAC1	
237	SEATTLE PD INV TAC2	
239	SEATTLE PD CTR 1	
241	SEATTLE PD CRT 2	
243	SEATTLE PD COMMAND 1	
245	SEATTLE PD COMMAND 2	
247	SEATTLE PD COMMAND 3	
249	SEATTLE PD COMMAND 4	
251	SEATTLE PD COMMAND 5	
253	SEATTLE PD HARBOR	
255	SEATTLE PD ITS	
257	SEATTLE PD NARC 2	
259	SEATTLE PD NARC 3	
261	SEATTLE PD NTF	
263	SEATTLE PD VICE 1	
265	SEATTLE PD VICE 2	
267	SEATTLE PD CIS 1	
269	SEATTLE PD CIS 2	
271	SEATTLE PD EM RESP1	
273	SEATTLE PD EM RESP2	
275	SEATTLE PD HOS N1	
277	SEATTLE PD HOS N2	
279	SEATTLE PD INTERNAL	
281	SEATTLE PD TRAINING 1	
283	SEATTLE PD TRAINING 2	
285	SEATTLE PD TRAINING 3	
287	SEATTLE PD TRAINING 4	
289	SEATTLE PD TRAINING 5	
291	SEATTLE PD TRAINING 6	
299	SEATTLE PD COMMAND 6	
349	SEATTLE PD COURT SEC	
1557	SEATTLE PD TMO FIELD	
2801	SEATTLE PD AS NARC	
2803	SEATTLE PD DVICE1	
2805	SEATTLE PD DVICE2	
2807	SEATTLE PD ENC	
2811	SEATTLE PD DTAC1	
2813	SEATTLE PD DTAC2	
2815	SEATTLE PD ENC	
2817	SEATTLE PD ENC	
2821	SEATTLE PD ENC	
545	SEATTLE PUBLIC SCHOOLS NW	
547	SEATTLE PUBLIC SCHOOLS SECURITY	
549	SEATTLE PUBLIC SCHOOLS NORTH	
551	SEATTLE PUBLIC SCHOOLS SOUTH	
553	SEATTLE PUBLIC SCHOOLS SOUTHWEST	
1245	SHORELINE FD ADMIN	
1079	SHORLINE CITY	
1039	SHORLINE DPW	
1243	ISSAQUAH / SNOQUALMIE PD	
1773	SNOQUALMIE PD TAC 1	
1775	SNOQUALMIE PD TAC 2	
1993	SNOQUALMIE FIRE ADMIN	
1497	SOUND TRANSIT METRO PD 1	
1499	SOUND TRANSIT METRO PD TAC	
3779	SOUND TRANSIT METRO PD 	
3771	SOUND TRANSIT TUNNEL SEC 1	
3769	SOUND TRANSIT TUNNEL SEC 2	
3777	SOUND TRANSIT SECURITY 1	
1503	SOUND TRANSIT METRO F8	
3753	SOUND TRANSIT MAINLINE OPS 1 - SOUTH	
3754	SOUND TRANSIT MAINLINE OPS 3 - EAST	
3755	SOUND TRANSIT MAINLINE OPS 2 - NORTH	
3756	SOUND TRANSIT MAINLINE OPS 4 – TEST TRAINS	
3757	SOUND TRANSIT DSTTOPS	
3759	SOUND TRANSIT YARDOPS1 OMFC	
3760	SOUND TRANSIT YARDOPS2 OMFE	
3761	SOUND TRANSIT FIBER MAINT S	
3762	SOUND TRANSIT MNTNC	
3763	SOUND TRANSIT FACILITIES1	
3765	SOUND TRANSIT DSTTOPS FACIL	
2333	TUKWILA PD 1	
2335	TUKWILA PD TAC	
2337	TUKWILA PD ADMIN	
